,Movie_name,Genre,reviews,Sentiment
0,Peninsula,Thriller,Very good movie for youths and teenagers. That whom loves adventure movies.,1
1,Peninsula,Thriller,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
2,Peninsula,Thriller,"not as sequel, good for individual watch",1
3,Peninsula,Thriller,very good movie to watch,1
4,Come Play,Mystery,"I did not like Babadook, but this one is actually different. One time watch movie",1
5,Come Play,Mystery,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
6,Come Play,Mystery,Great Movie,1
7,Come Play,Mystery,One time watch,1
8,Come Play,Mystery,Good Screenplay and direction. Story plot goes along.,0
9,The Secret: Dare To Dream,Romance,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
10,The Secret: Dare To Dream,Romance,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
11,The Secret: Dare To Dream,Romance,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
12,The Secret: Dare To Dream,Romance,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
13,The Secret: Dare To Dream,Romance,"Good Movie, Worth Watching it.",1
14,The War with grandpa,Comedy,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
15,The War with grandpa,Comedy,Enjoyed the subject matter and the fine acting by the female actors,1
16,The War with grandpa,Comedy,Great movie suggest you to see in theater,1
17,The War with grandpa,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing,1
18,The War with grandpa,Comedy,Interesting movie new concept,0
19,Parasite,Crime,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
20,Parasite,Crime,"Perfectly showing the side of society, we ignore",1
21,Parasite,Crime,One of the aweosme movie in long long time. Must watch for quality time spending,1
22,Parasite,Crime,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
23,Parasite,Crime,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
24,1917,Drama,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
25,1917,Drama,Very nice movie awesome thanks so much for the movie,1
26,1917,Drama,makes the film an absolute viewing delight.,1
27,1917,Drama,Tips to you on your site for me as the best for a long shot in to get to you by,1
28,The Outpost,Action,Good historical movie about war between humanity.,1
29,The Outpost,Action,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
30,The Outpost,Action,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
31,The Outpost,Action,The position of the outpost is brilliantly choose.,1
32,The Outpost,Action,Very good story plot. One of the best flims i've ever watched.,1
33,Little Woman,Romance ,Nice movie and drama movie review poster premiere,1
34,Little Woman,Romance ,they live in oblivion and their relationship grows and blossoms without being frowned upon.,1
35,Little Woman,Romance ,Super drama movie by women life.this movie going to rock.,1
36,Little Woman,Romance ,what a movie i like this movie thanks,1
37,Little Woman,Romance ,Excellent performance by the actors.,1
38,Birds of  prey,Crime,"It is just an ok movie , which shows lot of potential but slowly fades away since the directors seems not too sure what to do with other characters.",0
39,Birds of  prey,Crime,one of the best gangstaer movie of all time highly relatable to the joker movie nice acting with good dilogue delivery and nice plot.,1
40,Birds of  prey,Crime,"Super fun movie! Very violent (not for kiddies, sorry) but it was fun! Jokes were hilarious, some were in your face, others were subtle and easy to miss, very well done with showcasing Harley's trauma from her past in a subtle inobvious manner throughout the movie.",1
41,Birds of  prey,Crime,The movie is good to watch among with the animation creation and well presented,1
42,Birds of  prey,Crime,"Additionally, a young girl Cassandra (Ella Jay Basco) gets caught in the middle of Harley’s mayhem, along with Renee Montaya (Rosie Perez), Dinah Lance (Jurnee Smollett-Bell) and Helena Bertinelli (Mary Elizabeth Winstead).",1
43,Jojo Rabbit,Drama ,nice movie with sure watch to understand the world,1
44,Jojo Rabbit,Drama ,I like the film because acting direction dialogue were very best,0
45,Jojo Rabbit,Drama ,The concept of a modern-day genie seated in a posh resort,1
46,Jojo Rabbit,Drama ,i like this movie. thanks to director for a nice creation. thanks,1
47,Jojo Rabbit,Drama ,movie plot could have been better but acting is really good kudos to scarlett johansson,0
48,The gentleman,Action,very good movie to watch,1
49,The gentleman,Action,"I did not like Babadook, but this one is actually different. One time watch movie",1
50,The gentleman,Action,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
51,The gentleman,Action,Great Movie,1
52,The gentleman,Action,One time watch,1
53,The gentleman,Action,Good Screenplay and direction. Story plot goes along.,0
54,A Beautiful Day in the neighbourhood,Drama,"It is just an ok movie , which shows lot of potential but slowly fades away since the directors seems not too sure what to do with other characters.",0
55,A Beautiful Day in the neighbourhood,Drama,one of the best gangstaer movie of all time highly relatable to the joker movie nice acting with good dilogue delivery and nice plot.,1
56,A Beautiful Day in the neighbourhood,Drama,"Super fun movie! Very violent (not for kiddies, sorry) but it was fun! Jokes were hilarious, some were in your face, others were subtle and easy to miss, very well done with showcasing Harley's trauma from her past in a subtle inobvious manner throughout the movie.",1
57,A Beautiful Day in the neighbourhood,Drama,The movie is good to watch among with the animation creation and well presented,1
58,A Beautiful Day in the neighbourhood,Drama,"Additionally, a young girl Cassandra (Ella Jay Basco) gets caught in the middle of Harley’s mayhem, along with Renee Montaya (Rosie Perez), Dinah Lance (Jurnee Smollett-Bell) and Helena Bertinelli (Mary Elizabeth Winstead).",1
59,A Beautiful Day in the neighbourhood,Drama,nice movie with sure watch to understand the world,1
60,trolls world tour,Comedy,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
61,trolls world tour,Comedy,Enjoyed the subject matter and the fine acting by the female actors,1
62,trolls world tour,Comedy,Great movie suggest you to see in theater,1
63,trolls world tour,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing,1
64,trolls world tour,Comedy,Interesting movie new concept,0
65,The Witches,Adventure,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
66,The Witches,Adventure,"I did not like Babadook, but this one is actually different. One time watch movie",1
67,The Witches,Adventure,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
68,The Witches,Adventure,Great Movie,1
69,The Witches,Adventure,One time watch,1
70,Never Steal A man's second chance,Action,Good Screenplay and direction. Story plot goes along.,0
71,Never Steal A man's second chance,Action,"It is just an ok movie , which shows lot of potential but slowly fades away since the directors seems not too sure what to do with other characters.",0
72,Never Steal A man's second chance,Action,"Super fun movie! Very violent (not for kiddies, sorry) but it was fun! Jokes were hilarious, some were in your face, others were subtle and easy to miss, very well done with showcasing Harley's trauma from her past in a subtle inobvious manner throughout the movie.",1
73,Never Steal A man's second chance,Action,The movie is good to watch among with the animation creation and well presented,1
74,Never Steal A man's second chance,Action,"Additionally, a young girl Cassandra (Ella Jay Basco) gets caught in the middle of Harley’s mayhem, along with Renee Montaya (Rosie Perez), Dinah Lance (Jurnee Smollett-Bell) and Helena Bertinelli (Mary Elizabeth Winstead).",1
75,Greenland,Thriller,nice movie with sure watch to understand the world,1
76,Greenland,Thriller,Very good movie for youths and teenagers. That whom loves adventure movies.,1
77,Greenland,Thriller,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
78,Greenland,Thriller,"not as sequel, good for individual watch",1
79,Greenland,Thriller,very good movie to watch,1
80,Antebellum,Horror,"I did not like Babadook, but this one is actually different. One time watch movie",1
81,Antebellum,Horror,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
82,Antebellum,Horror,Great Movie,1
83,Antebellum,Horror,One time watch,1
84,Antebellum,Horror,Good Screenplay and direction. Story plot goes along.,0
85,A secret : Dare to dream,Romance,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
86,A secret : Dare to dream,Romance,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
87,A secret : Dare to dream,Romance,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
88,A secret : Dare to dream,Romance,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
89,A secret : Dare to dream,Romance,"Good Movie, Worth Watching it.",1
90,The Silencing,Crime,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
91,The Silencing,Crime,Enjoyed the subject matter and the fine acting by the female actors,1
92,The Silencing,Crime,Great movie suggest you to see in theater,1
93,The Silencing,Crime,Robert De Niro is a gifted artist. All his movies including this are amazing,1
94,The Silencing,Crime,Interesting movie new concept,0
95,Relic,Drama,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
96,Relic,Drama,"Perfectly showing the side of society, we ignore",1
97,Relic,Drama,One of the aweosme movie in long long time. Must watch for quality time spending,1
98,Relic,Drama,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
99,Relic,Drama,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
100,BloodShot,Sci-Fi,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
101,BloodShot,Sci-Fi,Very nice movie awesome thanks so much for the movie,1
102,BloodShot,Sci-Fi,makes the film an absolute viewing delight.,1
103,BloodShot,Sci-Fi,Tips to you on your site for me as the best for a long shot in to get to you by,1
104,BloodShot,Sci-Fi,Good historical movie about war between humanity.,1
105,Sonic the Hedgehog,Adventure,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
106,Sonic the Hedgehog,Adventure,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
107,Sonic the Hedgehog,Adventure,The position of the outpost is brilliantly choose.,1
108,Sonic the Hedgehog,adventure,Very good story plot. One of the best flims i've ever watched.,1
109,Sonic the Hedgehog,adventure,Nice movie and drama movie review poster premiere,1
110,Bad Boys for life,Action,Very good movie for youths and teenagers. That whom loves adventure movies.,1
111,Bad Boys for life,Action,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
112,Bad Boys for life,Action,"not as sequel, good for individual watch",1
113,Bad Boys for life,Action,very good movie to watch,1
114,Bad Boys for life,Action,"I did not like Babadook, but this one is actually different. One time watch movie",1
115,The Lasr Full measure,war,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
116,The Lasr Full measure,war,Great Movie,1
117,The Lasr Full measure,war,One time watch,1
118,The Lasr Full measure,war,Good Screenplay and direction. Story plot goes along.,0
119,The Lasr Full measure,war,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
120,Just Mercy,Drama,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
121,Just Mercy,Drama,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
122,Just Mercy,Drama,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
123,Just Mercy,Drama,"Good Movie, Worth Watching it.",1
124,Just Mercy,Drama,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
125,Dolittle,Comedy,Enjoyed the subject matter and the fine acting by the female actors,1
126,Dolittle,Comedy,Great movie suggest you to see in theater,1
127,Dolittle,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing,1
128,Dolittle,Comedy,Interesting movie new concept,0
129,Dolittle,Comedy,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
130,Bombshell,Biography,"Perfectly showing the side of society, we ignore",1
131,Bombshell,Biography,One of the aweosme movie in long long time. Must watch for quality time spending,1
132,Bombshell,Biography,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
133,Bombshell,Biography,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
134,Bombshell,Biography,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
135,The Lost city,Romance,Very nice movie awesome thanks so much for the movie,1
136,The Lost city,Romance,makes the film an absolute viewing delight.,1
137,The Lost city,Romance,Tips to you on your site for me as the best for a long shot in to get to you by,1
138,The Lost city,Romance,Good historical movie about war between humanity.,1
139,The Lost city,Romance,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
140,Life is  Beautiful,comedy,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
141,Life is  Beautiful,comedy,The position of the outpost is brilliantly choose.,1
142,Life is  Beautiful,comedy,Very good story plot. One of the best flims i've ever watched.,1
143,Life is  Beautiful,comedy,Nice movie and drama movie review poster premiere,1
144,Life is  Beautiful,comedy,Very good movie for youths and teenagers. That whom loves adventure movies.,1
145,Life is  Beautiful,comedy,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
146,Good will Hunting,Drama,"not as sequel, good for individual watch",1
147,Good will Hunting,Drama,very good movie to watch,1
148,Good will Hunting,Drama,"I did not like Babadook, but this one is actually different. One time watch movie",1
149,Good will Hunting,Drama,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
150,Good will Hunting,Drama,Great Movie,1
151,The Shawshank redemption,Drama,One time watch,1
152,The Shawshank redemption,Drama,Good Screenplay and direction. Story plot goes along.,0
153,The Shawshank redemption,Drama,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
154,The Shawshank redemption,Drama,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
155,The Shawshank redemption,Drama,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
156,Angry men,Crime,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
157,Angry men,Crime,"Good Movie, Worth Watching it.",1
158,Angry men,Crime,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
159,angry men,Crime,Enjoyed the subject matter and the fine acting by the female actors,1
160,angry men,Crime,Great movie suggest you to see in theater,1
161,The Dark Knight,Action,Robert De Niro is a gifted artist. All his movies including this are amazing,1
162,The Dark Knight,Action,Interesting movie new concept,0
163,The Dark Knight,Action,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
164,The Dark Knight,Action,"Perfectly showing the side of society, we ignore",1
165,The Dark Knight,Action,One of the aweosme movie in long long time. Must watch for quality time spending,1
166,The Matrix,Sci-Fi,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
167,The Matrix,Sci-Fi,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
168,The Matrix,Sci-Fi,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take.",1
169,The Matrix,Sci-Fi,Very nice movie awesome thanks so much for the movie,1
170,The Matrix,Sci-Fi,makes the film an absolute viewing delight.,1
171,Forest Gump,Romance,Tips to you on your site for me as the best for a long shot in to get to you by,1
172,Forest Gump,Romance,Good historical movie about war between humanity.,1
173,Forest Gump,Romance,"This is a great movie. Indeed there are, but there are a couple of great things about it:",1
174,Forest Gump,Romance,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement,1
175,Forest Gump,Romance,The position of the outpost is brilliantly choose.,1
176,America Beauty,Drama,Very good story plot. One of the best flims i've ever watched.,1
177,America Beauty,Drama,Nice movie and drama movie review poster premiere,1
178,America Beauty,Drama,Very good movie for youths and teenagers. That whom loves adventure movies.,1
179,America Beauty,Drama,Very good direction and very good acting too. Nice movie to watch in a weekend.,1
180,America Beauty,Drama,"not as sequel, good for individual watch",1
181,The Godfather,Crime,very good movie to watch,1
182,The Godfather,Crime,"I did not like Babadook, but this one is actually different. One time watch movie",1
183,The Godfather,Crime,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars.",1
184,The Godfather,Crime,Great Movie,1
185,The Godfather,Crime,One time watch,1
186,the Departed,Thriller,Good Screenplay and direction. Story plot goes along.,0
187,the Departed,Thriller,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it,1
188,the Departed,Thriller,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.,1
189,the Departed,Thriller,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne.",1
190,the Departed,Thriller,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...,1
191,The Prestige,Mystery,"Good Movie, Worth Watching it.",1
192,The Prestige,Mystery,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.,1
193,The Prestige,Mystery,Enjoyed the subject matter and the fine acting by the female actors,1
194,The Prestige,Mystery,Great movie suggest you to see in theater,1
195,The Prestige,Mystery,Robert De Niro is a gifted artist. All his movies including this are amazing,1
196,Gladiator,adventure,Interesting movie new concept,0
197,Gladiator,adventure,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.,1
198,Gladiator,adventure,"Perfectly showing the side of society, we ignore",1
199,Gladiator,adventure,One of the aweosme movie in long long time. Must watch for quality time spending,1
200,Gladiator,adventure,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone",1
201,Inglourious Basterds,war,"The rollercoster of dark emotions
Perfect oscar deserving movie",1
